qid,axis,order,question,min_score,max_score,weight,reverse,active,note
Q01,method,1,"암기과목 (통사, 한국사) 를 3주 전부터 시작한다.",1,4,1,0,1,
Q02,method,2,시험 준비 기간에 플래너를 작성한다,1,4,1,0,1,
Q03,method,3,수업시간에 선생님이 하신 말씀을 꼼꼼히 필기하는 편이다.,1,4,1,0,1,
Q04,method,4,단기간 집중하기 보다는 장기간 집중으로 공부를 하는 편이다.,1,4,1,0,1,
Q05,method,5,벼락치기를 한 적 없다.,1,4,1,0,1,
Q06,attitude,1,시험 준비 기간엔 전자기기 사용 시간을 스스로 줄인다.,1,4,1,0,1,
Q07,attitude,2,학원 시간 외에 따로 추가 공부를 한다(숙제 제외).,1,4,1,0,1,
Q08,attitude,3,수업 중 이해가 안되는 부분이 있으면 자주 질문하는 편이다.,1,4,1,0,1,
Q09,attitude,4,정기고사 (모의고사 포함) 이후에 자신의 오답을 분석해본다.,1,4,1,0,1,
Q10,attitude,5,모르는 문제가 있으면 답지를 보지 않고 끝까지 고민하는 편이다.,1,4,1,0,1,
